MYlive，CVS格式化源

香港HK,#genre#
中视,http://url.cdnhs.store:48559/hstw.php?id=ctvtwhd
中视,http://url.cdnhs.store:48559/hstw.php?id=ctvhshd
中视经典,http://url.cdnhs.store:48559/hstw.php?id=ctvclassic
中视菁采,http://url.cdnhs.store:48559/hstw.php?id=ctvbravofhd
中视菁采,http://url.cdnhs.store:48559/hstw.php?id=ctvbravo
公视,http://url.cdnhs.store:48559/hstw.php?id=ptslivehdy
公视,http://url.cdnhs.store:48559/hstw.php?id=PTSHD
公视戏剧,http://url.cdnhs.store:48559/hstw.php?id=ptsdrama
公视台语台,http://url.cdnhs.store:48559/hstw.php?id=PTS2
民视,http://url.cdnhs.store:48559/hstw.php?id=ftvfhd
民视,http://url.cdnhs.store:48559/hstw.php?id=ftvhd
民视,http://url.cdnhs.store:48559/hstw.php?id=ftvtaiwan
民视第一台,http://url.cdnhs.store:48559/hstw.php?id=fmtvfhd
民视第一台,http://url.cdnhs.store:48559/hstw.php?id=fmtv
民视第一台,http://url.cdnhs.store:48559/hstw.php?id=45
民视台湾台,http://url.cdnhs.store:48559/hstw.php?id=fttvfhd
民视台湾台,http://url.cdnhs.store:48559/hstw.php?id=fttv
民视台湾台,http://url.cdnhs.store:48559/hstw.php?id=37
民视影剧台,http://url.cdnhs.store:48559/hstw.php?id=ftvmoviedramafhd
民视影剧台,http://url.cdnhs.store:48559/hstw.php?id=ftvmoviedrama
台视,http://url.cdnhs.store:48559/hstw.php?id=ttvfhd
台视,http://url.cdnhs.store:48559/hstw.php?id=ttvhd
台视,http://url.cdnhs.store:48559/hstw.php?id=TTVHD
台湾戏剧,http://url.cdnhs.store:48559/hstw.php?id=taiwandramahd
台湾戏剧,http://url.cdnhs.store:48559/hstw.php?id=TaiwanDrama
华视,http://url.cdnhs.store:48559/hstw.php?id=ctsfhd
华视,http://url.cdnhs.store:48559/hstw.php?id=38
年代Much,http://url.cdnhs.store:48559/hstw.php?id=eramuch
东森超视,http://url.cdnhs.store:48559/hstw.php?id=ETTVSuper
东森亚洲,http://url.cdnhs.store:48559/hstw.php?id=ETTVAsia
东森戏剧,http://url.cdnhs.store:48559/hstw.php?id=ETTVXJ
东森戏剧,http://url.cdnhs.store:48559/hstw.php?id=106
国兴卫视,http://url.cdnhs.store:48559/hstw.php?id=GSTVTW
龙华偶像,http://url.cdnhs.store:48559/hstw.php?id=ltvidolhd
龙华偶像,http://url.cdnhs.store:48559/hstw.php?id=ltvIdolwj
龙华偶像,http://url.cdnhs.store:48559/hstw.php?id=52
龙华电视,http://url.cdnhs.store:48559/hstw.php?id=ltvlivetv
龙华戏剧,http://url.cdnhs.store:48559/hstw.php?id=ltvdramahd
